strategy,rebalance_block,start_date,end_date,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
mvo,5,2025-11-24,2026-01-05,BHARTIARTL,74.06,0.01999999999999992,112040.5443206046,2240.810886412083,2152.1,2152.1,2105.0,0,1,1,-0.021885600111518966
mvo,5,2025-11-24,2026-01-05,ETERNAL,59.07,0.10960964267485918,112040.5443206046,12280.724028078193,12040.0,301.0,281.8,64,40,-24,-0.06378737541528234
mvo,6,2026-01-06,2026-02-17,SBIN,73.31,0.20000000000000018,116598.50887858342,23319.701775716705,22415.8,1018.9,1213.4,23,22,-1,0.19089213858082266
mvo,6,2026-01-06,2026-02-17,MARUTI,75.245,0.15649534563559495,116598.50887858342,18247.1239475489,17292.0,17292.0,15179.0,1,1,0,-0.12219523479065464
mvo,6,2026-01-06,2026-02-17,EICHERMOT,74.37,0.17548585022050223,116598.50887858342,20461.38846500099,15045.0,7522.5,8035.0,3,2,-1,0.0681289464938517
mvo,6,2026-01-06,2026-02-17,SHRIRAMFIN,69.43,0.11154163477223174,116598.50887858342,13005.588292321772,12031.8,1002.65,1075.0,4,12,8,0.07215877923502712
mvo,6,2026-01-06,2026-02-17,HINDALCO,67.85,0.12312800415820038,116598.50887858342,14356.541686042185,14133.75,942.25,890.1,8,15,7,-0.05534624568851154
mvo,6,2026-01-06,2026-02-17,LT,65.82,0.038357761603718225,116598.50887858342,4472.457806913726,4140.6,4140.6,4279.8,0,1,1,0.03361831618605993
mvo,6,2026-01-06,2026-02-17,SBILIFE,53.71,0.08866032786952951,116598.50887858342,10337.662026273454,8383.2,2095.8,2039.5,0,4,4,-0.026863250310144138
mvo,6,2026-01-06,2026-02-17,M&M,71.245,0.020000000000000746,116598.50887858342,2331.9701775717554,0.0,3785.6,3489.2,0,0,0,-0.07829670329670335
mvo,6,2026-01-06,2026-02-17,ASIANPAINT,62.715,0.0663310757402207,116598.50887858342,7734.104523622112,5691.6,2845.8,2437.4,7,2,-5,-0.14350973364256103
mvo,6,2026-01-06,2026-02-17,BAJAJ-AUTO,71.95,0.020000000000001447,116598.50887858342,2331.970177571837,0.0,9661.0,9826.5,0,0,0,0.01713073180830138
mvo,7,2026-02-18,2026-04-06,SHRIRAMFIN,71.68,0.19999999999999965,119108.66911675122,23821.7338233502,23676.4,1076.2,928.0,12,22,10,-0.13770674595800036
mvo,7,2026-02-18,2026-04-06,SBIN,71.105,0.19999999999999973,119108.66911675122,23821.733823350212,23159.100000000002,1218.9,1032.75,22,19,-3,-0.15271966527196656
mvo,7,2026-02-18,2026-04-06,EICHERMOT,71.055,0.2000000000000001,119108.66911675122,23821.733823350256,16019.0,8009.5,6596.0,2,2,0,-0.17647793245520949
mvo,7,2026-02-18,2026-04-06,AXISBANK,68.83,0.06829813288113579,119108.66911675122,8134.899710631109,6885.0,1377.0,1245.3,0,5,5,-0.0956427015250545
mvo,7,2026-02-18,2026-04-06,TITAN,73.43,0.19059388117561968,119108.66911675122,22701.383528624283,21243.0,4248.6,4246.1,0,5,5,-0.000588429129595669
mvo,7,2026-02-18,2026-04-06,TATASTEEL,69.235,0.02000000000000001,119108.66911675122,2382.1733823350255,2299.33,209.03,196.1,0,11,11,-0.061857149691431856
mvo,7,2026-02-18,2026-04-06,BAJAJ-AUTO,74.96000000000001,0.024298067014143877,119108.66911675122,2894.11042416431,0.0,9980.0,8942.5,0,0,0,-0.10395791583166336
mvo,7,2026-02-18,2026-04-06,HINDALCO,66.13,0.02000000000000001,119108.66911675122,2382.1733823350255,1798.5,899.25,927.45,15,2,-13,0.031359466221851484
mvo,7,2026-02-18,2026-04-06,LT,69.785,0.02000000000000001,119108.66911675122,2382.1733823350255,0.0,4325.9,3727.7,1,0,-1,-0.13828336299960697
mvo,7,2026-02-18,2026-04-06,NESTLEIND,60.010000000000005,0.056809918929101096,119108.66911675122,6766.553836275764,6504.5,1300.9,1216.0,0,5,5,-0.06526251056960575
mvo,8,2026-04-07,2026-05-20,SHRIRAMFIN,73.775,0.20000000000000018,106700.8108277651,21340.16216555304,20474.3,930.65,923.45,22,22,0,-0.007736528232955342
mvo,8,2026-04-07,2026-05-20,TITAN,70.43,0.20000000000000018,106700.8108277651,21340.16216555304,21153.0,4230.6,4106.4,5,5,0,-0.029357537937881317
mvo,8,2026-04-07,2026-05-20,SBIN,68.58500000000001,0.06667541320615875,106700.8108277651,7114.320651373416,6182.400000000001,1030.4,950.9,19,6,-13,-0.07715450310559013
mvo,8,2026-04-07,2026-05-20,HINDALCO,67.88,0.020000000000000358,106700.8108277651,2134.01621655534,1909.0,954.5,1085.5,2,2,0,0.1372446306966999
mvo,8,2026-04-07,2026-05-20,COALINDIA,63.56,0.17880757462038147,106700.8108277651,19078.913194140816,18983.0,463.0,458.7,0,41,41,-0.009287257019438444
mvo,8,2026-04-07,2026-05-20,ONGC,70.16,0.2000000000000001,106700.8108277651,21340.162165553033,21212.1,286.65,298.3,0,74,74,0.04064189778475513
mvo,8,2026-04-07,2026-05-20,TATASTEEL,68.715,0.020000000000000014,106700.8108277651,2134.016216555304,1981.3,198.13,207.01,11,10,-1,0.044819058194115025
mvo,8,2026-04-07,2026-05-20,AXISBANK,70.41499999999999,0.020000000000000014,106700.8108277651,2134.016216555304,1250.1,1250.1,1249.8,5,1,-4,-0.0002399808015358662
mvo,8,2026-04-07,2026-05-20,SUNPHARMA,62.07,0.07451701217345894,106700.8108277651,7951.025619370511,6872.0,1718.0,1880.3,0,4,4,0.09447031431897557
mvo,8,2026-04-07,2026-05-20,NTPC,63.695,0.02000000000000018,106700.8108277651,2134.0162165553215,1844.25,368.85,392.45,0,5,5,0.06398264877321402
mvo,9,2026-05-21,2026-06-25,HINDALCO,65.175,0.17865418183575982,108245.55354784224,19338.520806448683,18688.1,1099.3,953.2,2,17,15,-0.13290275629946324
mvo,9,2026-05-21,2026-06-25,NTPC,63.125,0.1326546010868871,108245.55354784224,14359.270725318287,13996.800000000001,388.8,352.05,5,36,31,-0.09452160493827155
mvo,9,2026-05-21,2026-06-25,BAJAJ-AUTO,70.475,0.19999999999999987,108245.55354784224,21649.110709568435,21334.0,10667.0,9843.0,0,2,2,-0.07724758601293713
mvo,9,2026-05-21,2026-06-25,COALINDIA,63.375,0.14352649830182332,108245.55354784224,15536.105257464304,15186.6,460.2,435.4,41,33,-8,-0.05388961321164709
mvo,9,2026-05-21,2026-06-25,ONGC,64.0,0.14750763235346556,108245.55354784224,15967.045316632482,15680.050000000001,295.85,233.1,74,53,-21,-0.21210072671962155
mvo,9,2026-05-21,2026-06-25,TATASTEEL,67.0,0.020000000000000174,108245.55354784224,2164.9110709568636,2085.8,208.58,188.71,10,10,0,-0.0952632083613002
mvo,9,2026-05-21,2026-06-25,ADANIPORTS,75.35,0.020000000000000066,108245.55354784224,2164.9110709568517,1793.3,1793.3,1796.0,0,1,1,0.0015056041933865227
mvo,9,2026-05-21,2026-06-25,NESTLEIND,47.3,0.10426833674308232,108245.55354784224,11286.583828267763,11252.0,1406.5,1402.6,0,8,8,-0.002772840383931774
mvo,9,2026-05-21,2026-06-25,POWERGRID,67.225,0.02000000000000003,108245.55354784224,2164.911070956848,2096.85,299.55,283.9,0,7,7,-0.05224503421799376
mvo,9,2026-05-21,2026-06-25,APOLLOHOSP,70.9,0.03338874967898174,108245.55354784224,3614.1836912717185,0.0,8308.5,8592.0,0,0,0,0.03412168261419035
