strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
average,2,2025-07-03,2025-08-01,31,30,SHRIRAMFIN,55.59,0.09618063065011465,103764.04479453422,9980.091267145046,9455.6,675.4,614.2,16,14,-2,-0.09061297009179736
average,2,2025-07-03,2025-08-01,31,30,HINDALCO,54.05,0.09351615554305984,103764.04479453422,9703.61455278269,9699.9,692.85,672.45,16,14,-2,-0.029443602511366018
average,3,2025-08-04,2025-09-03,31,31,TITAN,64.01,0.11007265379820301,102208.37844475852,11250.34745582562,10068.900000000001,3356.3,3690.6,3,3,0,0.0996037302982451
average,3,2025-08-04,2025-09-03,31,31,EICHERMOT,61.945,0.10652164567301492,102208.37844475852,10887.404673505982,5621.0,5621.0,6371.5,1,1,0,0.133517167763743
average,3,2025-08-04,2025-09-03,31,31,APOLLOHOSP,60.015,0.10320278577877134,102208.37844475852,10548.189385430005,7308.0,7308.0,7736.0,1,1,0,0.05856595511767915
average,3,2025-08-04,2025-09-03,31,31,GRASIM,59.75,0.10274708739950991,102208.37844475852,10501.613193025789,8363.400000000001,2787.8,2781.4,3,3,0,-0.0022957170528732362
average,3,2025-08-04,2025-09-03,31,31,SHRIRAMFIN,59.445,0.10222260435922789,102208.37844475852,10448.006631956787,9998.4,624.9,586.3,14,16,2,-0.06176988318130905
average,3,2025-08-04,2025-09-03,31,31,JSWSTEEL,57.56,0.09898112720863249,102208.37844475852,10116.700508628694,9503.1,1055.9,1072.2,9,9,0,0.015437067904157553
average,3,2025-08-04,2025-09-03,31,31,HINDALCO,55.989999999999995,0.09628132926357422,102208.37844475852,9840.758538535796,9627.800000000001,687.7,742.95,14,14,0,0.08034026465028354
average,3,2025-08-04,2025-09-03,31,31,TATASTEEL,55.480000000000004,0.09540432483556167,102208.37844475852,9751.121338059762,9733.16,159.56,167.85,62,61,-1,0.05195537728754074
average,3,2025-08-04,2025-09-03,31,31,ASIANPAINT,54.83,0.09428657409397705,102208.37844475852,9636.87784725697,7349.400000000001,2449.8,2553.9,4,3,-1,0.04249326475630655
average,3,2025-08-04,2025-09-03,31,31,SBIN,52.5,0.09027986758952754,102208.37844475852,9227.35887253312,8752.7,795.7,812.15,12,11,-1,0.02067362071132317
average,4,2025-09-04,2025-10-03,31,30,TITAN,63.69,0.10984159286693627,105089.47398150394,11543.195215676848,11073.3,3691.1,3453.3,3,3,0,-0.06442523908861852
average,4,2025-09-04,2025-10-03,31,30,GRASIM,60.07,0.10359843748652633,105089.47398150394,10887.105300764772,8429.400000000001,2809.8,2791.4,3,3,0,-0.006548508790661267
average,4,2025-09-04,2025-10-03,31,30,JSWSTEEL,59.08,0.10189105521398328,105089.47398150394,10707.677395857878,9651.6,1072.4,1161.7,9,9,0,0.08327116747482277
average,4,2025-09-04,2025-10-03,31,30,SHRIRAMFIN,58.92,0.1016151146446834,105089.47398150394,10678.678946579996,10544.4,585.8,645.8,16,18,2,0.10242403550699897
average,4,2025-09-04,2025-10-03,31,30,EICHERMOT,58.205,0.10038200522562452,105089.47398150394,10549.09212636946,6425.0,6425.0,6941.0,1,1,0,0.08031128404669263
average,4,2025-09-04,2025-10-03,31,30,TATASTEEL,57.405,0.09900230237912509,105089.47398150394,10404.09987998005,10342.22,166.81,173.21,61,62,1,0.038367004376236524
average,4,2025-09-04,2025-10-03,31,30,APOLLOHOSP,57.4,0.09899367923633447,105089.47398150394,10403.193678440117,7900.0,7900.0,7449.5,1,1,0,-0.057025316455696196
average,4,2025-09-04,2025-10-03,31,30,ASIANPAINT,55.71,0.09607905697310441,105089.47398150394,10096.89755794249,7705.799999999999,2568.6,2357.8,3,3,0,-0.08206805263567696
average,4,2025-09-04,2025-10-03,31,30,HINDALCO,55.489999999999995,0.09569963869031706,105089.47398150394,10057.024690185403,9607.65,739.05,780.35,14,13,-1,0.05588255192476832
average,4,2025-09-04,2025-10-03,31,30,SBIN,53.864999999999995,0.09289711728336508,105089.47398150394,9762.509189706914,9712.8,809.4,867.3,11,12,1,0.07153446997776136
