date,daily_return,cumulative_return,portfolio_value,benchmark_daily_return,benchmark_cumulative_return,benchmark_source,benchmark_value
2025-07-23,0.005557582265063474,-0.06930011484725607,93069.9885152744,0.006344544689137255,0.04543429013196554,official_nse_nifty50_index,104543.42901319655
2025-07-24,-0.003617550054193142,-0.07266696826722796,92733.3031732772,-0.00625696374688256,0.03889304567886187,official_nse_nifty50_index,103889.30456788618
2025-07-25,-0.008051260418412157,-0.08013316800030412,91986.68319996959,-0.00898168948332334,0.029562030936190364,official_nse_nifty50_index,102956.20309361904
2025-07-28,-0.015296746906630842,-0.09420413811720774,90579.58618827922,-0.006284978056931179,0.023091256163506824,official_nse_nifty50_index,102309.12561635068
2025-07-29,0.008863505267157056,-0.08617561172444055,91382.43882755595,0.005680505978306938,0.02890293216049722,official_nse_nifty50_index,102890.29321604971
2025-07-30,-0.0005223437922222673,-0.08665294222083753,91334.70577791624,0.0013677878901419138,0.030310253131237808,official_nse_nifty50_index,103031.02531312378
2025-07-31,-0.006426356561790367,-0.09252243607878863,90747.75639212114,-0.003488224726966971,0.02671629942981779,official_nse_nifty50_index,102671.62994298177
2025-08-01,-0.010828382251713503,-0.10234895002578126,89765.10499742188,-0.008195943613522938,0.018301390532606154,official_nse_nifty50_index,101830.13905326062
2025-08-04,0.018636235050542956,-0.08562011406509507,91437.98859349049,0.006407399039704442,0.024826053884434485,official_nse_nifty50_index,102482.60538844345
2025-08-05,-0.0008834065584002647,-0.08642788325319928,91357.21167468007,-0.00296083566755323,0.021791712351055592,official_nse_nifty50_index,102179.17123510556
2025-08-06,-0.0004311875547420408,-0.08682180418029983,91317.81958197002,-0.003056850936426825,0.01866824739832218,official_nse_nifty50_index,101866.82473983221
2025-08-07,-0.0037324944109955395,-0.09023023669243979,90976.97633075602,0.0008932132073475874,0.019578135330803992,official_nse_nifty50_index,101957.81353308039
2025-08-08,-0.028058271907940573,-0.11575680408494604,88424.3195915054,-0.009466928767307148,0.00992586175092347,official_nse_nifty50_index,100992.58617509235
2025-08-11,0.0042145493424792105,-0.11203011750501057,88796.98824949894,0.009101804763722576,0.019118009770414668,official_nse_nifty50_index,101911.80097704146
2025-08-12,-0.006500809332798513,-0.11780264040437805,88219.7359595622,-0.003971926028216277,0.015070148421583607,official_nse_nifty50_index,101507.01484215836
2025-08-13,0.009563753236041283,-0.10936552255171827,89063.44774482817,0.005388485506832019,0.020539839204771093,official_nse_nifty50_index,102053.98392047711
2025-08-14,-0.00336580385233046,-0.11236322350693195,88763.6776493068,0.0004853905566151173,0.02103519960537059,official_nse_nifty50_index,102103.51996053706
2025-08-18,0.01594259736568204,-0.0982119877723312,90178.80122276688,0.009973083028504526,0.031218068426060563,official_nse_nifty50_index,103121.80684260606
2025-08-19,0.006205009039695757,-0.09261638500456926,90738.36149954307,0.004168517442853847,0.035516718931680735,official_nse_nifty50_index,103551.67189316808
2025-08-20,-0.002391674842567378,-0.09478655156911175,90521.34484308882,0.002798165780313777,0.03841426637953815,official_nse_nifty50_index,103841.42663795382
2025-08-21,0.004503573985304113,-0.09070985583161106,90929.0144168389,0.001325320202550495,0.03979049778538757,official_nse_nifty50_index,103979.04977853876
2025-08-22,-0.004538109025960415,-0.09483631364207845,90516.36863579215,-0.0085174664872677,0.030934117066721223,official_nse_nifty50_index,103093.41170667212
2025-08-25,0.0008070320546252544,-0.09410581753250491,90589.41824674951,0.003926401582623473,0.034981978415552506,official_nse_nifty50_index,103498.19784155524
2025-08-26,-0.009644177495570706,-0.10284242182042624,89715.75781795738,-0.01024121116239951,0.02438250942532072,official_nse_nifty50_index,102438.25094253207
