strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
fundamental,4,2025-09-04,2025-10-03,31,30,APOLLOHOSP,66,0.10091743119266056,104340.44594928913,10529.769774698903,7900.0,7900.0,7449.5,1,1,0,-0.057025316455696196
fundamental,4,2025-09-04,2025-10-03,31,30,JSWSTEEL,64,0.09785932721712538,104340.44594928913,10210.68584213227,9651.6,1072.4,1161.7,9,9,0,0.08327116747482277
fundamental,4,2025-09-04,2025-10-03,31,30,SBIN,60,0.09174311926605505,104340.44594928913,9572.517976999003,8903.4,809.4,867.3,11,11,0,0.07153446997776136
fundamental,4,2025-09-04,2025-10-03,31,30,ASIANPAINT,59,0.09021406727828746,104340.44594928913,9412.976010715685,7705.799999999999,2568.6,2357.8,3,3,0,-0.08206805263567696
fundamental,4,2025-09-04,2025-10-03,31,30,HINDALCO,58,0.08868501529051988,104340.44594928913,9253.43404443237,8868.599999999999,739.05,780.35,13,12,-1,0.05588255192476832
fundamental,5,2025-10-06,2025-11-04,31,30,EICHERMOT,77,0.11702127659574468,106250.81164143288,12433.605617614487,6880.0,6880.0,6930.0,1,1,0,0.007267441860465018
fundamental,5,2025-10-06,2025-11-04,31,30,ADANIPORTS,71,0.10790273556231003,106250.81164143288,11464.753231826344,11204.0,1400.5,1444.4,8,8,0,0.03134594787575873
fundamental,5,2025-10-06,2025-11-04,31,30,TITAN,71,0.10790273556231003,106250.81164143288,11464.753231826344,10276.2,3425.4,3813.5,3,3,0,0.1133006364220237
fundamental,5,2025-10-06,2025-11-04,31,30,ASIANPAINT,69,0.10486322188449848,106250.81164143288,11141.80243656363,9419.2,2354.8,2486.7,3,4,1,0.0560132495328689
fundamental,5,2025-10-06,2025-11-04,31,30,SHRIRAMFIN,67,0.10182370820668693,106250.81164143288,10818.851641300917,10743.2,671.45,796.5,18,16,-2,0.186238737061583
fundamental,5,2025-10-06,2025-11-04,31,30,GRASIM,64,0.0972644376899696,106250.81164143288,10334.425448406846,8422.2,2807.4,2882.0,3,3,0,0.026572629479233445
fundamental,5,2025-10-06,2025-11-04,31,30,JSWSTEEL,63,0.09574468085106383,106250.81164143288,10172.95005077549,9279.2,1159.9,1181.4,9,8,-1,0.018536080696611723
fundamental,5,2025-10-06,2025-11-04,31,30,APOLLOHOSP,61,0.09270516717325228,106250.81164143288,9849.999255512776,7662.0,7662.0,7810.5,1,1,0,0.019381362568519966
fundamental,5,2025-10-06,2025-11-04,31,30,HINDALCO,58,0.08814589665653495,106250.81164143288,9365.573062618703,9320.400000000001,776.7,831.4,12,12,0,0.07042616196729745
fundamental,5,2025-10-06,2025-11-04,31,30,SBIN,57,0.08662613981762918,106250.81164143288,9204.097664987346,8740.5,874.05,957.6,11,10,-1,0.09558949716835419
fundamental,6,2025-11-06,2025-12-05,31,30,EICHERMOT,77,0.11702127659574468,109731.92678131437,12840.970155260193,6806.5,6806.5,7208.0,1,1,0,0.058987732314699226
fundamental,6,2025-11-06,2025-12-05,31,30,ADANIPORTS,71,0.10790273556231003,109731.92678131437,11840.37507822693,11494.4,1436.8,1509.4,8,8,0,0.050528953229398654
fundamental,6,2025-11-06,2025-12-05,31,30,TITAN,71,0.10790273556231003,109731.92678131437,11840.37507822693,11323.2,3774.4,3813.3,3,3,0,0.010306273844849612
fundamental,6,2025-11-06,2025-12-05,31,30,ASIANPAINT,69,0.10486322188449848,109731.92678131437,11506.84338588251,10411.6,2602.9,2968.5,4,4,0,0.1404587191209805
fundamental,6,2025-11-06,2025-12-05,31,30,SHRIRAMFIN,67,0.10182370820668693,109731.92678131437,11173.31169353809,11095.0,792.5,854.9,16,14,-2,0.07873817034700314
fundamental,6,2025-11-06,2025-12-05,31,30,GRASIM,64,0.0972644376899696,109731.92678131437,10673.014155021458,8100.299999999999,2700.1,2747.0,3,3,0,0.017369727047146455
fundamental,6,2025-11-06,2025-12-05,31,30,JSWSTEEL,63,0.09574468085106383,109731.92678131437,10506.248308849248,9350.4,1168.8,1162.2,8,8,0,-0.0056468172484598345
fundamental,6,2025-11-06,2025-12-05,31,30,APOLLOHOSP,61,0.09270516717325228,109731.92678131437,10172.716616504827,7782.0,7782.0,7189.5,1,1,0,-0.07613723978411724
fundamental,6,2025-11-06,2025-12-05,31,30,HINDALCO,58,0.08814589665653495,109731.92678131437,9672.419077988196,9460.8,788.4,823.25,12,12,0,0.04420345002536785
fundamental,6,2025-11-06,2025-12-05,31,30,SBIN,57,0.08662613981762918,109731.92678131437,9505.653231815986,8646.75,960.75,971.5,10,9,-1,0.011189175123601292
fundamental,7,2025-12-08,2026-01-07,31,31,EICHERMOT,77,0.11702127659574468,111139.5944835133,13005.69722679411,7142.0,7142.0,7582.5,1,1,0,0.06167740128815469
fundamental,7,2025-12-08,2026-01-07,31,31,ADANIPORTS,71,0.10790273556231003,111139.5944835133,11992.266274056907,11844.0,1480.5,1465.3,8,8,0,-0.010266801756163457
fundamental,7,2025-12-08,2026-01-07,31,31,TITAN,71,0.10790273556231003,111139.5944835133,11992.266274056907,11301.0,3767.0,4273.2,3,3,0,0.13437748871781263
