symbol,pulled_on,pulled_at,date,submissionDate,broadcastDate,recordId,xbrl,desc,pr_and_prgrp,public_val,source
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_BAJAJ-AUTO_shareholding_20250630,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.04,22.53,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_BAJAJ-AUTO_shareholding_20250930,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.04,22.51,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_BAJAJ-AUTO_shareholding_20251231,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,54.99,22.01,screener
BAJAJ-AUTO,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_BAJAJ-AUTO_shareholding_20260331,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,screener shareholding table,55.01,21.62,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_BAJAJFINSV_shareholding_20230630,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.79,24.66,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_BAJAJFINSV_shareholding_20230930,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.69,24.31,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_BAJAJFINSV_shareholding_20231231,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.69,23.7,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_BAJAJFINSV_shareholding_20240331,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.69,23.38,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_BAJAJFINSV_shareholding_20240630,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.64,23.18,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_BAJAJFINSV_shareholding_20240930,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.64,22.84,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_BAJAJFINSV_shareholding_20241231,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.64,22.93,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_BAJAJFINSV_shareholding_20250331,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,60.64,22.71,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_BAJAJFINSV_shareholding_20250630,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,58.81,22.6,screener
