TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-21,2026-07-21,CM,NSE,STK,14786,INF769K01JU9,LOWVOL,EQ,,,,,MIRAEAMC - MANV30F,207.94,207.94,206.63,207.81,207.88,207.1,,207.81,,,99903,20645095.54,23,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,17181,INF769K01FN2,NEXT50,EQ,,,,,MIRAEAMC - MANXT50,746.04,749.9,744.41,749.03,749.8,746.04,,749.04,,,17532,13113032.42,1519,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,16777,INF769K01KG6,SILVERAG,EQ,,,,,MIRAEAMC - MASILVER,212.89,216.19,212.55,215.79,215.55,211.73,,215.79,,,203040,43726423.96,1880,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,5782,INF769K01HP3,MASPTOP50,EQ,,,,,MIRAEAMC - MASPTOP50,78.74,78.74,78.74,78.74,78.74,79.66,,78.74,,,21639,1703854.86,132,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,25744,INF769K01LY7,METAL,EQ,,,,,MIRAEAMC - METAL,12.65,12.78,12.63,12.74,12.76,12.65,,12.74,,,4633805,58775387.36,6075,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,23855,INF769K01LJ8,MIDSMALL,EQ,,,,,MIRAEAMC - MIDSMALL,51.9,51.9,50.94,51.07,51.07,50.88,,51.07,,,1119249,57051701.55,586,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,25080,INF769K01LX9,MULTICAP,EQ,,,,,MIRAEAMC - MULTICAP,16.69,16.76,16.67,16.71,16.71,16.69,,16.72,,,272097,4546236.04,379,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,30109,INF769K01ON4,SELECTIPO,EQ,,,,,MIRAEAMC - SELECTIPO,46.54,46.65,46.31,46.45,46.59,46.54,,46.45,,,528051,24473663.98,114,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,19224,INF769K01KT9,SENSEXETF,EQ,,,,,MIRAEAMC - SENSEXETF,80.4,80.4,79.76,79.87,79.76,80.13,,79.9,,,9267,740950.71,183,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,759814,INF769K01PQ4,SMALL250,EQ,,,,,MIRAEAMC - SMALL250,18.43,18.43,18.07,18.13,18.15,18.07,,18.13,,,443152,8030294.28,498,F1,1,,,,,
