trade_date,index_name,open,high,low,close,points_change,change_pct,volume,turnover_rs_cr,pe,pb,div_yield,source
2025-07-07,NIFTY 50,25450.45,25489.8,25407.25,25461.3,0.3,0.0,196051345,16923.26,22.92,3.65,1.27,nse_index_close_archive
2025-07-08,NIFTY 50,25427.85,25548.05,25424.15,25522.5,61.2,0.24,210410530,21947.32,22.97,3.66,1.28,nse_index_close_archive
2025-07-09,NIFTY 50,25514.6,25548.7,25424.35,25476.1,-46.4,-0.18,239081546,20549.5,22.93,3.66,1.27,nse_index_close_archive
2025-07-10,NIFTY 50,25511.65,25524.05,25340.45,25355.25,-120.85,-0.47,219609322,21435.36,22.82,3.61,1.28,nse_index_close_archive
2025-07-11,NIFTY 50,25255.5,25322.45,25129.0,25149.85,-205.4,-0.81,249987681,26251.65,22.64,3.58,1.3,nse_index_close_archive
2025-07-14,NIFTY 50,25149.5,25151.1,25001.95,25082.3,-67.55,-0.27,259533624,23316.33,22.57,3.57,1.29,nse_index_close_archive
2025-07-15,NIFTY 50,25089.5,25245.2,25088.45,25195.8,113.5,0.45,241340130,23282.7,22.67,3.58,1.29,nse_index_close_archive
2025-07-16,NIFTY 50,25196.6,25255.3,25121.05,25212.05,16.25,0.06,228815928,22254.54,22.68,3.59,1.29,nse_index_close_archive
2025-07-17,NIFTY 50,25230.75,25238.35,25101.0,25111.45,-100.6,-0.4,243412540,24715.35,22.59,3.57,1.29,nse_index_close_archive
2025-07-18,NIFTY 50,25108.55,25144.6,24918.65,24968.4,-143.05,-0.57,316979826,26330.8,22.46,3.48,1.35,nse_index_close_archive
2025-07-21,NIFTY 50,24999.0,25111.4,24882.3,25090.7,122.3,0.49,305216414,26062.25,22.58,3.47,1.32,nse_index_close_archive
2025-07-22,NIFTY 50,25166.65,25182.0,25035.55,25060.9,-29.8,-0.12,483725120,31248.06,22.15,3.47,1.32,nse_index_close_archive
